category	gtdbtk.tax	phylum	class	order	family	genus	species	Group	LDA	P.VALUE	MAG.ID	category	WW	WOW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW
MAG1996	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Bilophila	s__Bilophila wadsworthia	WOW	3.365087926	4.16E-07	MAG1996	MAG1996	5.824298246	2012.06044	8.94	39.46	7.76	3.77	7.59	6.23	5.14	6.76	4.61	5.82	7.64	7.5	5.24	3.7	2.62	6.57	5.18	7.42	10.22	5.16	6.07	5.55	5.42	6.32	3.75	8.52	5.66	7.6	8.01	10.28	3.79	5.16	4.77	2.06	5.22	4.5	8.16	29.25	0	7.52	15.75	2.26	37.1	1.62	7.55	5.54	7.01	8.17	14.67	2.54	8.23	11.68	4.47	3.62	9.4	5.33	8.49	9.92	5.34	12.64	1.6	2.69	4.1	5.15	2.41	5.64	5.33	4.36	0.83	0.61	2.76	1.46	2.4	2.84	6.1	3.82	7.13	7.53	4.5	5.89	8.48	12.91	6.74	5.97	2.32	1.86	3.01	4.27	5.12	1.31	2.13	3.2	1.6	6.16	4.55	5.17	3.76	1.21	2.38	3.99	2.98	2.26	1.46	4.53	2	1.35	0.67	0.68	0.48	1.87	1.18	1.75	0.4	2.8	1.89	3.36	2.68	2.91	2.27	3.81	2.72	122.31	30.2	45.34	82.26	32.57	64.65	5.08	4.55	2.7	6.02	8.73	6.04	4.82	3.29	4.94	2.42	2.21	6.16	5.11	4.21	7.11	9.2	13.21	3.18	8.79	6.15	4724.78	13198	14513.84	3742.06	4722.93	12984.65	14194.16	3745.15	4771.52	12745.47	15877.17	5033.22	4867.15	15499.27	920.26	4832.94	5349.01	2595.94	1093.79	4870.51	5405.17	2626.76	926.18	4741.23	5470.2	5536.87	4860.38	2600.42	5.14	7.48	6.69	28.77	4.57	8.28	3.22	4.21	3.88	3.98	3.2	3.19	2.68	4.78	2.62	2.72	5.04	2.7	2.63	3.49	1.77	5.28	3.42	4.18	0.55	4.98	1.51	2.47	0.8	3.35
MAG2025	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Bilophila	s__Bilophila wadsworthia	WOW	3.544188905	4.61E-11	MAG2025	MAG2025	9.69622807	3037.306813	13.2	68.59	14.16	20.38	45.94	13.5	6.17	11.49	11.62	6.67	20.26	22.61	9.38	7.25	6.67	19.65	12.85	14.85	22.06	8.67	23.95	12.23	8.05	12.24	18.14	13.36	8.39	14.55	12.02	13.12	7.07	6.59	6.07	2.41	6.96	6.78	9.55	29.25	0.78	10.35	0	2.54	68.01	3.51	8.45	16.62	11.93	9.53	23.69	3.42	9.9	14.79	6.39	4.83	12.99	7.71	10.82	12.05	5.88	17.99	1.54	3.59	5.3	6	3.1	8	6.66	5.83	0.55	1.52	3.92	2.09	3.34	4.56	8.04	4.48	9.28	9.25	5.56	7.97	12.1	18.38	9.11	7.37	3.51	2.1	3.3	5.99	33.74	1.61	2.71	3.67	1.99	9.65	5.47	7.38	5.01	1.27	2.61	5.04	3.55	3.41	2.34	7.21	3.18	2.31	0.88	0.97	0.74	2.47	1.35	2.34	0.35	2.8	6.52	12.76	11.72	20.14	6.35	9.37	11.3	156.89	42.2	60.34	109.88	40.67	85.65	7.43	6.67	4.14	9.89	16.74	8.54	6.86	4.96	7.08	4.47	3.3	8.16	7.07	6.17	11.33	14.38	19.39	6.74	13.03	11.02	7280.4	20257.8	22469.81	4880.5	7271.64	19899.43	21982.65	4895.92	7111.5	18834.3	23625.72	6447.6	7277.68	23235.63	1400.53	7535.42	8322.46	4075.25	1407.51	7548.96	8392.96	4103.52	1409.1	7345.89	8356.38	8489.55	7486.97	4021.46	7.79	8.89	9.6	37.77	6.93	11.6	20.21	19.22	7.37	12.94	4.93	4.84	8.74	13.05	13.29	10.44	15.32	3.82	5.97	4.96	3.99	8.36	5.46	7.89	0.93	7.24	1.51	4.93	4.55	4.68
MAG1405	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus alactolyticus	WOW	3.313563022	4.18E-05	MAG1405	MAG1405	94.45921053	1240.291319	13.42	16.01	3.1	19.62	4.21	5.71	4.11	5.27	27.33	3.76	18.37	7.11	2.86	2.79	7.86	2.9	49.75	7.82	17.38	17.58	5.06	17.4	30.16	7.55	43.19	6.84	15.32	4.96	14.69	42.33	7.04	0.19	0.68	2.65	2.36	135.44	4.08	14.62	2.34	301.94	78.77	23.41	37.1	743.3	276.84	74.79	15.78	6.81	15.79	1.71	174.39	6.32	6.41	62.57	13.76	1.02	8.49	22.68	3.92	15.56	868.27	422.6	486.09	410.6	579.38	337.23	43.96	56.47	1629.28	232.72	740.52	295.37	299.37	200.07	82.21	2.03	169.68	8.23	56.61	44.48	3.85	310.1	30.85	30.08	0.6	0.38	0.6	0.27	0.71	14.94	0.42	4.36	1.87	3.06	267.64	0.75	0.48	0.39	3.57	4.32	7.01	6.48	16.75	30.69	17.07	4.12	2.42	27.92	217.3	1.46	2.55	3.08	1.83	300.04	631.29	1602.99	2251.22	748.77	1183.31	1386.53	2113.09	72.23	14174.37	11600.77	262.88	587.28	387.21	21.65	64.71	16.04	11.24	4135.27	4.94	82.6	56.4	19.47	231.09	14403.29	11.99	33.64	202.23	1199.55	5711.25	202.02	127.43	4480.46	545.35	3.27	4.08	1.15	3.89	2.8	4.74	1.74	3.02	3.4	3.47	0.28	3.72	2.83	1.24	1.97	123.22	3.96	3.23	1.64	115.97	4.91	2.46	1.59	99.65	4.35	3.85	103.95	2.76	4314.85	227.42	2734.36	18.93	1109.74	684.44	1897.11	203.11	650.89	1901.9	800.68	764.51	2277.62	2836	1590.29	1185.1	873.87	1089.68	2257.24	899.66	618.13	8995.56	75.06	5705	3.12	6.43	6.63	59.19	2.96	1.33
MAG2268	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus alactolyticus	WOW	3.172103114	0.000100827	MAG2268	MAG2268	42.84701754	825.3468132	13.52	12.09	1.36	19.62	7.59	2.6	1.03	4.06	29.11	1.78	17.45	5.72	3.81	3.84	5.48	2.19	42.7	1.72	18.62	17.34	1.35	15.63	26.21	5.71	31.16	7.23	9.3	2.64	10.68	14.2	6.67	0.96	1.17	2.27	3.27	126.72	7.26	14.62	0	35.6	63.02	6.49	37.1	198.5	161.51	16.62	12.98	3.4	11.85	0.7	26.88	5.5	6.34	48.8	7.42	1.31	4.66	15.83	2.08	7.78	204.86	146.25	171.88	38.08	339.72	244.96	12.83	10.16	672.46	14.62	665.44	137.44	197.46	79.55	21.58	3.04	25.37	7.96	11.39	9.71	2.49	4.36	3.9	7.29	0.57	0.72	1.01	0.93	0.62	11.44	1.03	4.45	2.1	2.58	247.1	2.26	1.73	0.76	2.25	4.43	7.61	5.15	14.45	11.82	8.49	2.05	2.92	23.54	178.49	1.07	2.22	3.37	1.76	131.79	479	1285.92	1817.72	620.14	1002.18	1204.45	1778.5	78.96	12287.41	10013.18	227.76	476.26	325.94	14.67	19.59	2.85	3.69	139.5	4.54	10.94	42.94	17.13	4.26	54.31	7.35	15.64	121.61	755.61	3810.44	54.3	78.27	2948.6	371.52	2.61	1.39	0.12	2.14	2.8	1.41	0.11	1.75	4.05	3.23	0.75	2.48	2.23	0.62	1.44	108.72	3.01	3.54	1	110.24	4.5	1.88	1.38	99.23	3.52	4.84	102.71	2.36	3525.64	224.09	2270.58	20.37	919.37	626.5	1731.29	186.99	603.11	1440.05	743.51	724.2	1651.25	2491.14	938.79	655.03	801.75	913.02	1238.21	684.13	487.87	7212.71	66.48	4328.55	3.21	3.94	3.61	59.19	1.16	1.58
MAG2389	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus alactolyticus	WOW	3.114974638	0.000806126	MAG2389	MAG2389	137.3264912	841.1054945	20.02	22.11	4.66	50.56	10.11	11.42	3.09	6.63	48.8	5.92	25.8	12.07	7.63	6.59	18.81	2.97	59.08	5.17	22.35	24.84	8.77	22.44	45.24	4.49	53.44	9.94	22.99	2.64	37.38	60.05	10.46	1.79	2.2	6.48	4.13	179.58	6.22	14.62	1.56	278.62	15.75	25.66	30.91	455.53	420.84	72.02	57.87	14.98	16.36	1.88	145.38	15.85	7.4	23.43	24.91	6.44	16.14	27.64	7.65	18.96	1155.07	519.5	495.84	233.94	1379.79	588.59	96.16	151.6	2907.91	219.32	1520.51	391.14	558.84	289.56	289.91	6.77	152.7	15.37	78.5	43.99	6.56	474.35	16.38	12	3.05	5.31	4.38	1.95	4.58	30.25	6.4	6.96	10.57	4.84	424.5	7.35	5.97	4.79	8.46	9.38	17.29	10.18	30.66	46.99	32.14	8.6	8.06	49.26	382.75	2.41	4.92	5.72	4.2	361.73	1051.57	2536.22	3629.93	1244.78	1901.71	2248.67	3510.54	77.14	5689	4616.71	134.28	218.87	159.87	25.73	48.13	7.16	11.07	4018.87	8.48	30.48	89.19	33.93	16.79	4903.22	19.1	40.71	353.91	351.27	1640.03	48.51	40.69	1267.65	164.95	26.84	5.03	0.69	2.88	28.69	6.46	0.54	4.03	21.89	5.47	0.56	2.72	20.67	0.62	3.81	197.58	6.94	4.87	3.51	199.24	5.42	5.16	4.16	164.41	5.81	5.19	172.98	3.94	1633.43	288.76	1177.44	13.15	420.18	254.6	2886.18	335.12	1061.15	2887.58	1261.64	1258.23	3235.12	4547.8	2063.7	1629.12	1301.82	1738.34	1727.35	303.78	210.32	3144.7	68.91	1935.7	5.27	7.56	9.94	71.52	5.57	7.35
MAG2579	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus alactolyticus	WOW	3.070071302	2.17E-05	MAG2579	MAG2579	79.73684211	684.5210989	17.04	16.11	2.52	41.89	4.64	4.67	1.03	2.16	49.85	5.35	25.31	6.73	5.09	4.32	12.86	3.52	54.52	1.99	20.3	17.34	8.43	17.65	44	6.12	56.99	9.81	16.97	6.28	5.34	30.84	10.06	0.12	0.14	2.09	1.46	176.7	3.23	19.5	0	57.38	0	5.08	37.1	353.31	267.48	5.54	14.03	2.04	7.9	1.53	44.48	5.9	5.58	26.82	8.05	0.82	5.49	29.29	1.81	8.75	469.57	384.92	345.28	78.26	748.33	474.58	22.79	15.81	1356.02	30.16	1392.14	298.54	421.43	169.12	29.03	3.64	33.43	10.53	14.61	14.27	3.39	7.56	5.13	8.08	0.04	0.26	0.39	0.29	0.88	22.12	0.3	4.1	1.85	5.34	352.13	1.14	0.37	1.03	2.58	6.51	9.34	7.4	26.53	17.63	17.2	4.53	6.16	41.67	328.17	0.71	2.68	5.04	2.42	283.22	827.01	2193.21	3136.36	1059.41	1681.56	2024.67	3095.92	83.15	5894.2	4866.13	158.94	227.8	179.31	25.82	36.54	4.32	4.53	247.63	5.16	18.3	79.74	33.89	5.21	101.48	11.7	27.52	240.6	341.08	1649.81	52.12	35.43	1276.32	162.1	5.17	3.39	0.58	2.88	3.67	2.22	0.65	2.69	5.4	3.08	0.37	3.66	5.37	0.93	1.57	159.53	5.45	5.54	1.99	163.49	4.74	3.67	2.49	149.83	5.23	5.95	152.03	3.23	1692.93	297.14	1188.37	13.75	421.73	258.36	2802.03	289.11	963.29	2281.54	1160.81	1171.56	2625.15	3930.92	1532.42	1032.83	1285.86	1501.49	1692.96	298.19	201.15	3110.83	60.89	1905.9	3.53	5.55	10.54	56.72	2.02	2.08
MAG2581	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus alactolyticus	WOW	3.122036628	4.06E-05	MAG2581	MAG2581	92.60964912	773.8482418	18.63	20.87	5.24	33.58	13.91	4.67	1.03	3.52	51.52	6.39	27.13	9.53	14.78	6.91	13.57	3.37	73.38	9.68	23.23	25.08	6.75	22.31	46.41	4.69	56.8	13.36	14.41	1.98	48.06	33.54	10.69	0.86	0.56	4.21	3.94	197.55	5.07	14.62	2.34	65.99	47.26	12.97	30.91	417.23	354.42	96.94	36.83	16.34	12.41	2.94	51.75	6.89	6.65	26.33	9.54	1.64	6.66	34.02	2.84	12.16	537.17	340.95	367.72	89.46	792.67	538.65	27.86	21.99	1699.75	43.25	1520.42	320.61	454.12	184.7	37.96	2.18	42.76	11.31	17.09	17.59	3.62	11.49	5.51	10.42	0.77	0.48	0.41	0.53	1.14	26.22	0.49	5.3	3.45	5.42	466.17	1.12	1.29	1.36	3.98	8.65	12.62	9.75	34.33	23.35	21.02	4.8	7.44	53.42	394.69	1.96	4.55	6.09	3.8	246.76	985.16	2531.78	3659.97	1241.24	1975.81	2334.26	3543.16	95.02	6459.63	5238.15	171.83	251.44	190.93	28.61	37.88	4.89	4.2	286.96	5.01	18.43	87.7	32.02	7.57	143.09	10.58	34.47	280.53	364.52	1809.84	52.94	44.25	1396.2	188.98	6.89	6.25	1.5	5.9	6.7	4.84	3.15	4.16	7.32	5.7	2.81	6.38	6.5	2.79	3.1	205.45	7.92	4.56	3.35	214.78	7.31	6.66	4.05	190.06	8.61	7.57	191.36	6.08	1811.22	333.14	1302.28	15.45	460.2	280.32	3097.65	331.35	1108.24	2704.78	1303.18	1324.16	3071.26	4600.24	1760.67	1243.1	1380.48	1799.26	1751.39	326.73	217.76	3436.37	61.89	2108.14	4.5	6.51	10.84	115.91	2.82	1.55
MAG2645	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus alactolyticus	WOW	3.092434589	9.46E-05	MAG2645	MAG2645	83.13649123	719.8210989	22.25	15.39	2.33	35.85	6.74	8.31	4.11	3.52	44.4	3.66	27.9	7.37	8.9	3.32	19.28	2.74	66.33	5.17	18.92	20.15	5.4	24.21	38.07	5.71	42.99	8.91	16.05	4.63	29.37	31.38	10.03	0.31	0.14	1.96	2.73	170.77	6.62	9.75	2.34	58.92	0	5.64	30.91	324.18	286.8	74.79	32.62	4.08	7.9	0.92	41.59	5.69	5.35	29.47	6.67	1.48	3.83	24.1	1.96	8.99	483.55	349.03	342.2	77.54	716.45	477.93	23	19.42	1584.62	53.92	1348.84	304.25	410.95	170.32	30.27	1.82	35.26	9.25	15.72	12.53	2.6	10.02	3.75	7.81	0.09	0.31	0.17	0.44	0.9	25.5	0.26	4.3	3.01	5.25	387.68	0.79	0.29	0.49	3.19	7.11	9.34	9.63	29.76	19.31	18.72	5.67	5.59	43.14	357.53	1.31	2.97	4.45	3.31	342.1	898.85	2310.91	3334.15	1119.77	1825.81	2150.88	3250.94	75.48	6218.29	5033.51	143.47	243.9	177.08	24.34	30.5	4.02	3.49	240.89	4.05	14.8	78.96	27.86	5.25	114.73	8.96	27.66	239.05	355.3	1779.62	43.05	40.08	1400.14	177.25	3.86	4.69	0	1.01	4.31	4.74	0.98	2.75	4.34	2.54	0.94	2.84	5.44	0.31	2.51	188.11	6.64	3.13	2.87	183.23	6.36	3.43	2.89	169.28	5.32	6.53	176.13	3.26	1798.55	296.42	1254.69	11.12	482.76	279.52	2804.86	297.96	1004.43	2399.39	1181.27	1216.47	2728.44	4085.26	1575.27	1077.25	1264.49	1579.17	1670.99	342.15	224.53	3430.67	59.55	2093.71	3.05	7	9.34	120.84	1.66	1.43
MAG3280	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus alactolyticus	WOW	3.226475473	0.00085576	MAG3280	MAG3280	49.32421053	934.9771429	11.39	18.08	11.25	23.02	12.64	8.31	3.09	10.41	35.71	11.08	22.64	6.73	8.42	6.07	15.71	24.03	39.38	4.51	23.88	20.86	10.12	21.18	36.31	5.71	37.08	8.78	11.86	2.31	10.68	22.32	6.24	1.98	1	4.05	3.02	133.44	3.28	19.5	0	47.68	0	4.23	37.1	192.57	161.51	38.78	17.19	14.98	7.33	2.37	28	9.25	6.6	55.56	7.98	2.66	6.66	18.43	2.57	8.99	239.58	186.63	188.52	53.19	367.76	263.99	15.33	13.65	795.08	27.72	735.08	160.46	214.75	88.42	23.55	2.84	27.98	8.23	13.26	11.04	4.52	11.49	6.2	7.84	3.4	6.43	1.9	2.72	0.6	16.41	5.3	3.67	6.38	2.96	277.16	6.31	4.35	2.55	3.98	5.18	8.5	4.8	16.9	14.58	12.89	4.09	5.03	23.97	203.81	1.46	2.88	3.73	3.54	173.86	549.4	1475.92	2043.19	707.89	1131.97	1362.23	1990.75	131.41	13770.08	11192.14	257.35	582.07	375.59	18.7	23.49	7.1	7.95	150.09	7.36	11.78	47.13	19.33	9.01	73.01	12.05	18.95	133.33	847.68	4413.87	58.44	89.79	3430.74	426.43	3.21	1.74	0.46	1.88	2.75	3.43	0	2.15	2.37	3	0.47	2.07	3.55	0.62	1.3	120.84	2.89	3.49	1.24	118.04	3.99	3.14	1.14	111.05	3.49	4.64	112.53	3.13	4046.49	251.23	2644.44	33.35	1050.71	632.15	1854.39	199.68	629.75	1579.47	800.71	777.17	1794.98	2732.15	1023.55	712.06	870.77	987.82	1451.59	833.17	658.53	8421.03	76.45	5072.11	5.97	4.42	6.93	32.06	1.74	3.22
MAG3321	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus alactolyticus	WOW	3.245458299	2.49E-05	MAG3321	MAG3321	46.9077193	970.7264835	11.61	12.09	1.94	21.89	6.32	3.11	0	2.7	27.12	3.1	19.14	5.34	7.15	3.48	7.62	2.74	32.34	3.05	18.26	20.62	4.05	13.49	28.84	5.1	32.34	7.16	8.03	0.66	21.36	20.15	10.15	0.07	0.21	2.91	2.42	136.82	2.44	19.5	0	36.11	0	7.61	37.1	171.8	182.34	27.7	8.77	6.13	7.9	0.88	29.39	5.02	4.7	61.36	5.13	1.07	4.99	22.68	1.77	4.38	251.06	194.7	182.94	42.88	366.04	267.58	14.45	10.52	828.37	23.15	716	163.63	219.2	88.25	20.44	1.07	23.33	7.26	11.62	11.62	2.83	5.78	2.83	6.06	0.24	0.31	0.26	0.31	0.51	14.82	0.58	3.76	2.38	3.35	293.53	0.52	0.55	0.39	1.55	4.18	6.04	4.63	15.63	12.79	10.74	3.48	2.61	24.35	207.42	0.65	1.6	2.78	1.6	112.16	589.19	1492.25	2154.51	741.56	1166.92	1379.79	2123.47	74.29	14256.52	11657.19	263.72	569.04	389.38	16.14	21.37	2.91	3.58	149.88	3.8	9.95	43.55	16.26	3.52	81.21	6.44	15.68	144.02	918.23	4786.04	65.64	102.08	3695.28	469.04	3.56	2.52	0.58	2.61	3.63	1.41	0.11	2.95	2.95	3.16	0.56	3.9	3.74	0.62	1.53	126.52	3.66	2.41	1.16	128.75	4.44	4.2	1.89	108.28	4.44	4.71	114.72	2.92	4148.99	231.95	2681.41	19.43	1036.45	603.41	1818.24	200.73	610.81	1607.92	786.68	773.52	1803.79	2777.58	1002.08	711.05	798.37	1032.94	1417.74	873.68	593.57	9196.31	73.94	5550.2	2.34	3.94	7.83	14.8	1.01	1.02
MAG4213	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus alactolyticus	WOW	3.117099704	0.001817999	MAG4213	MAG4213	90.76929825	760.7235165	18.21	20.35	2.91	40.75	3.79	11.94	1.03	3.38	48.59	6.76	32.24	7.37	15.57	6.84	20	2.97	64.26	5.7	23.52	18.75	10.12	21.05	46.93	7.34	52.26	10.84	24.63	1.65	22.7	28.67	13.97	9.72	2.55	10.26	5.28	206.15	7.36	14.62	0	64.26	0	2.82	49.46	364.64	294.95	72.02	24.2	6.13	11.85	13.9	51.6	12.72	18.98	37.93	17.19	1.56	10.32	36.38	5.76	15.56	477.9	330.18	338.33	86.88	700.93	483.15	25.38	23.42	1568.25	46.91	1369.04	330.06	399.54	176.25	42.12	5.46	52.61	22.2	29.29	18.67	10.75	16.29	12.94	14.04	3.03	13.38	6.62	4.02	3.36	31.07	8.27	10.7	4.67	8.91	479.59	8.52	9.21	10.94	13.1	17.08	20.41	14.2	45.76	24.39	29.21	12.84	12.56	58.21	614.92	10.79	17.03	10.33	9.1	291.63	1005.33	2587.06	3747.16	1286.4	2042.62	2369.59	3565.34	83.7	6027.31	4918.59	150.54	220.17	179.37	28.87	37.51	13.58	14.62	270.43	10.75	21.86	82.95	34	13.43	123.57	18.33	34.63	245.57	375.73	1861.53	52.96	44.32	1432.26	190.51	5.64	3.12	0.23	3.15	4.13	2.32	0.22	5.71	3.8	3.62	0.56	3.43	5.14	0.41	2.47	199.39	5.6	5.03	1.92	209.7	6.36	5.36	2.6	169.59	6.57	5.68	171.62	4.35	1767.26	303.85	1220.69	13.07	459.14	289.73	2910.35	323.92	1033.15	2616.84	1253.19	1304.29	2985.44	4479.96	1718.82	1226.52	1297.53	1725.16	1831.96	346.45	238.24	3567.5	63.49	2209.42	5.07	7.64	13.86	78.92	3.47	2.6
MAG762	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus alactolyticus	WOW	3.323607793	1.60E-05	MAG762	MAG762	52.99359649	1160.589121	9.9	13.02	2.52	19.62	4.21	3.63	0	3.25	35.4	3.85	24.11	5.21	5.72	3.66	7.38	2.9	46.85	5.3	18.4	16.4	4.39	15.38	31.99	6.73	34.51	8.65	13.32	0.99	16.02	20.69	8.19	0.88	0.4	2.67	1.89	152.04	3.18	19.5	4.68	67.85	0	5.64	43.28	255.41	202.57	38.78	13.68	8.17	7.33	1.1	35.49	6.3	4.23	80.2	6.55	1.07	6.16	18.66	2.5	7.78	264.19	180.35	203.04	50.46	409.39	285.16	16.3	12.61	891.07	26.5	781.72	177.52	229.66	95.03	27.46	2.12	32.25	7.57	11.87	10.79	3.17	13.71	3.98	6.64	0.51	0.26	0.39	0.73	3.94	16.1	0.63	3.89	2.8	3.78	318.11	0.6	0.48	0.52	2.13	5.37	7.48	5.84	19.09	16.3	12.99	3.27	2.99	26	233.36	1.13	1.8	3.12	1.81	213.11	642.24	1666.07	2340.17	811.97	1303.28	1568.12	2345.04	87.66	17458.74	14275.56	336.1	712.72	467.87	17.56	22.9	3	4.47	193.58	4.9	11.81	51.29	20.32	5.46	105.4	7.97	20.86	149.71	1152.01	5914.86	78.85	119.89	4567.03	556.66	3.98	3.39	0.35	2.81	4.04	2.42	0.22	3.63	3.6	4.16	1.03	3.49	3.63	1.14	1.93	150.13	4.41	4	1.68	149.21	4.2	3.86	2.57	122.86	4.63	4.59	124.41	3.38	5142.36	271.45	3232.5	25.55	1320.08	787.72	2037.32	216.48	680.7	1764.81	864.7	869.5	2021.2	2999.62	1155.7	787.64	915.9	1102.45	1714.64	1095.32	725.3	11191.01	86.07	6787.77	3.34	4.58	7.23	155.37	1.59	1.89
MAG3304	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium	s__Phascolarctobacterium sp000436095	WOW	3.10841087	0.000708606	MAG3304	MAG3304	193.9209649	726.5879121	145.34	16.32	265.83	406.41	197.23	260.6	236.54	288.17	242.74	143.57	92.11	279.12	234.1	87.19	45.23	175.96	123.13	65.34	335.16	449.26	303.62	354.77	241.29	140.96	15.78	160.42	101.07	115.71	280.37	306.75	14.75	292.16	26.26	122.84	66.76	822.79	87.16	43.87	14.04	76.92	31.51	2.26	37.1	2.97	10.87	2.77	7.01	98.04	35.54	44.84	44.53	498.92	52.01	27.54	449.15	19.76	49.75	20.79	41.58	20.66	118.42	147.15	97.99	636.18	146.09	156.45	341.57	913.05	50.49	44.78	94.84	120.57	38.26	595	962.42	99.65	412.91	470.89	659.65	432.72	332.36	313.06	449.2	62.2	34.42	220.12	103.05	7.27	16.49	20.72	261.93	325.89	226.35	80.34	415.15	632.69	354.27	428.17	396.56	198.77	968.04	93.98	181.03	12.38	115.06	8.83	52.41	10.98	29.84	5.53	8.16	18.14	6.48	2.8	87.59	66.63	73.31	125.22	53.27	157.6	117.1	62.66	61.66	64.02	27.91	7.17	23.23	206.94	296.37	98.73	96.57	10.6	58.77	35.89	74.12	190.85	16.51	45.34	455.01	37.09	46.97	5400.04	4558.56	2751.15	409.91	4660.11	1349.9	9.97	10.94	2.07	3.75	10.28	8.98	4.89	2.89	9.94	10.86	3.65	3.25	8.84	4.44	18.17	16.88	15.46	20.57	18.75	18.5	17.1	22.06	18.17	18.76	17.98	19.11	20.23	21.57	1343.37	5578.98	2915.11	24.27	28.51	83.86	59.77	58.99	23.43	20.98	19.77	16.15	29.79	25.7	20.1	13.02	40.96	6.75	6934.27	7890.09	76.27	10607.06	537.4	7632.07	11.95	2.73	5.42	19.73	2.53	5.61
