Bin	genes	ARO	AMR Gene Family	phylum
FJCeC3.Bin38	218	119	167	Firmicutes
FJCeC3.Bin4	264	121	216	Firmicutes
FJCeC3.Bin40	162	94	137	Actinobacteriota
FJCeC3.Bin43	166	115	145	Firmicutes
FJCeC3.Bin45	93	68	85	Firmicutes
FJCeC3.Bin49	129	94	113	Bacteroidota
FJCeC3.Bin50	242	113	213	Firmicutes
FJCeC3.Bin55	206	119	188	Bacteroidota
FJCeC3.Bin58	137	96	116	Bacteroidota
FJCeC3.Bin68	191	125	179	Bacteroidota
FJCeC3.Bin69	189	118	164	Bacteroidota
FJCeC3.Bin72	111	87	92	Bacteroidota
FJCeC3.Bin73	161	106	123	Spirochaetota
FJCeC3.Bin75	324	152	261	Firmicutes
FJCeC3.Bin76	152	90	115	Spirochaetota
FJCeC3.Bin78	72	49	65	Firmicutes
FJCeC3.Bin81	175	120	146	Bacteroidota
FJCeC3.Bin84	205	113	163	Firmicutes
FJCeC3.Bin87	224	121	172	Firmicutes
FJCeC3.Bin88	160	92	124	Actinobacteriota
FJCeC3.Bin89	112	90	100	Proteobacteria
FJCeC3.Bin90	132	79	123	Spirochaetota
FJCeC3.Bin93	124	91	107	Spirochaetota
FJCeC3.Bin94	222	115	161	Firmicutes
FJCeC3.Bin97	136	97	107	Bacteroidota
FJCeC4.Bin101	137	83	112	Firmicutes
FJCeC4.Bin102	119	90	94	Elusimicrobiota
FJCeC4.Bin103	109	73	94	Actinobacteriota
FJCeC4.Bin104	117	83	100	Firmicutes
FJCeC4.Bin106	119	89	102	Bacteroidota
FJCeC4.Bin108	72	62	70	Firmicutes
FJCeC4.Bin109	156	109	131	Bacteroidota
FJCeC4.Bin11	153	106	135	Bacteroidota
FJCeC4.Bin110	104	84	85	Bacteroidota
FJCeC4.Bin114	209	120	167	Firmicutes
FJCeC4.Bin13	277	124	229	Firmicutes
FJCeC4.Bin14	163	121	140	Bacteroidota
FJCeC4.Bin23	165	116	133	Proteobacteria
FJCeC4.Bin27	122	81	106	Spirochaetota
FJCeC4.Bin28	208	101	173	Firmicutes
FJCeC4.Bin29	102	80	92	Bacteroidota
FJCeC4.Bin3	117	75	93	Firmicutes
FJCeC4.Bin33	222	119	181	Firmicutes
FJCeC4.Bin36	163	110	133	Bacteroidota
FJCeC4.Bin39	310	131	250	Firmicutes
FJCeC4.Bin46	152	96	123	Firmicutes
FJCeC4.Bin5	210	116	171	Firmicutes
FJCeC4.Bin54	167	111	144	Deferribacterota
FJCeC4.Bin56	177	97	147	Firmicutes
FJCeC4.Bin62	124	90	111	Bacteroidota
FJCeC4.Bin64	67	50	58	Firmicutes
FJCeC4.Bin65	140	83	117	Firmicutes
FJCeC4.Bin68	111	81	110	Bacteroidota
FJCeC4.Bin7	312	133	276	Firmicutes
FJCeC4.Bin70	139	104	121	Proteobacteria
FJCeC4.Bin71	114	89	101	Bacteroidota
FJCeC4.Bin75	135	103	111	Bacteroidota
FJCeC4.Bin80	78	52	73	Actinobacteriota
FJCeC4.Bin84	149	93	110	Firmicutes
FJCeC4.Bin85	127	92	112	Bacteroidota
FJCeC4.Bin86	217	142	188	Bacteroidota
FJCeC4.Bin87	158	85	125	Firmicutes
FJCeC4.Bin90	179	108	140	Firmicutes
FJCeC4.Bin94	173	108	132	Firmicutes
FJCeC4.Bin95	153	106	122	Bacteroidota
FJCeC4.Bin96	138	105	121	Bacteroidota
FJCeC4.Bin97	145	103	119	Bacteroidota
FJCeC5.Bin1	130	82	107	Firmicutes
FJCeC5.Bin10	121	80	96	Actinobacteriota
FJCeC5.Bin103	88	65	76	Firmicutes
FJCeC5.Bin110	253	119	217	Firmicutes
FJCeC5.Bin111	131	82	123	Spirochaetota
FJCeC5.Bin115	129	97	105	Bacteroidota
FJCeC5.Bin116	190	108	158	Desulfobacterota
FJCeC5.Bin120	147	110	122	Bacteroidota
FJCeC5.Bin122	65	54	58	Halobacteriota
FJCeC5.Bin123	209	111	172	Firmicutes
FJCeC5.Bin124	191	102	150	Firmicutes
FJCeC5.Bin125	107	74	90	Firmicutes
FJCeC5.Bin127	225	119	164	Firmicutes
FJCeC5.Bin131	159	107	133	Bacteroidota
FJCeC5.Bin135	136	110	118	Bacteroidota
FJCeC5.Bin136	166	119	140	Bacteroidota
FJCeC5.Bin14	234	119	196	Firmicutes
FJCeC5.Bin141	254	134	221	Firmicutes
FJCeC5.Bin16	181	121	144	Desulfobacterota
FJCeC5.Bin17	78	53	70	Firmicutes
FJCeC5.Bin19	166	99	136	Firmicutes
FJCeC5.Bin2	256	128	211	Firmicutes
FJCeC5.Bin22	147	99	130	Bacteroidota
FJCeC5.Bin23	167	126	138	Bacteroidota
FJCeC5.Bin27	234	135	212	Bacteroidota
FJCeC5.Bin31	140	107	120	Bacteroidota
FJCeC5.Bin32	105	57	95	Spirochaetota
FJCeC5.Bin33	148	86	125	Firmicutes
FJCeC5.Bin35	177	118	161	Bacteroidota
FJCeC5.Bin4	65	53	54	Proteobacteria
FJCeC5.Bin41	77	52	70	Firmicutes
FJCeC5.Bin44	190	114	151	Firmicutes
FJCeC5.Bin45	214	121	170	Firmicutes
FJCeC5.Bin46	199	106	155	Firmicutes
FJCeC5.Bin47	61	50	54	Firmicutes
FJCeC5.Bin5	237	110	198	Firmicutes
FJCeC5.Bin51	132	73	116	Firmicutes
FJCeC5.Bin57	123	86	98	Firmicutes
FJCeC5.Bin59	181	110	164	Bacteroidota
FJCeC5.Bin6	59	51	50	Proteobacteria
FJCeC5.Bin62	154	90	125	Firmicutes
FJCeC5.Bin63	133	80	106	Firmicutes
FJCeC5.Bin65	222	115	178	Firmicutes
FJCeC5.Bin70	86	76	76	Bacteroidota
FJCeC5.Bin71	123	92	107	Bacteroidota
FJCeC5.Bin72	138	95	118	Bacteroidota
FJCeC5.Bin74	122	71	116	Firmicutes
FJCeC5.Bin76	159	112	138	Bacteroidota
FJCeC5.Bin78	101	67	85	Firmicutes
FJCeC5.Bin79	192	117	157	Desulfobacterota
FJCeC5.Bin80	132	83	110	Synergistota
FJCeC5.Bin87	141	96	120	Firmicutes
FJCeC5.Bin9	183	105	146	Actinobacteriota
FJCeC5.Bin90	121	96	112	Bacteroidota
FJCeC5.Bin92	166	111	146	Bacteroidota
FJCeC5.Bin95	112	87	94	Bacteroidota
FJCeC5.Bin97	123	95	109	Bacteroidota
FJCeC5.Bin99	128	77	112	Firmicutes
FJCeC6.Bin100	124	97	103	Bacteroidota
FJCeC6.Bin11	338	147	269	Firmicutes
FJCeC6.Bin16	254	115	235	Firmicutes
FJCeC6.Bin2	62	51	55	Bacteroidota
FJCeC6.Bin20	269	122	234	Firmicutes
FJCeC6.Bin25	154	109	134	Bacteroidota
FJCeC6.Bin26	173	110	153	Firmicutes
FJCeC6.Bin27	145	91	97	Firmicutes
FJCeC6.Bin29	57	48	51	Spirochaetota
FJCeC6.Bin33	114	89	100	Bacteroidota
FJCeC6.Bin36	112	85	86	Cyanobacteria
FJCeC6.Bin39	122	86	102	Bacteroidota
FJCeC6.Bin41	135	92	105	Bacteroidota
FJCeC6.Bin45	128	106	104	Bacteroidota
FJCeC6.Bin46	177	120	149	Proteobacteria
FJCeC6.Bin5	108	88	93	Bacteroidota
FJCeC6.Bin50	165	111	136	Bacteroidota
FJCeC6.Bin54	194	102	173	Firmicutes
FJCeC6.Bin57	184	96	147	Firmicutes
FJCeC6.Bin60	172	102	144	Firmicutes
FJCeC6.Bin62	140	107	118	Bacteroidota
FJCeC6.Bin63	154	95	133	Actinobacteriota
FJCeC6.Bin68	88	66	80	Deferribacterota
FJCeC6.Bin70	183	96	149	Firmicutes
FJCeC6.Bin76	152	84	129	Firmicutes
FJCeC6.Bin78	134	98	106	Bacteroidota
FJCeC6.Bin80	135	84	109	Firmicutes
FJCeC6.Bin86	160	111	136	Bacteroidota
FJCeC6.Bin89	118	83	94	Firmicutes
FJCeC6.Bin97	176	103	144	Firmicutes
FJCeC6.Bin99	81	60	77	Firmicutes
GZCeC-10.Bin10	170	115	153	Bacteroidota
GZCeC-10.Bin11	136	95	100	Bacteroidota
GZCeC-10.Bin14	65	48	56	Firmicutes
GZCeC-10.Bin15	157	102	134	Firmicutes
GZCeC-10.Bin18	157	107	127	Firmicutes
GZCeC-10.Bin19	165	109	137	Firmicutes
GZCeC-10.Bin21	158	90	123	Firmicutes
GZCeC-10.Bin23	119	70	103	Firmicutes
GZCeC-10.Bin24	158	104	140	Bacteroidota
GZCeC-10.Bin26	105	75	80	Cyanobacteria
GZCeC-10.Bin29	157	113	139	Bacteroidota
GZCeC-10.Bin3	126	98	109	Bacteroidota
GZCeC-10.Bin31	139	90	98	Cyanobacteria
GZCeC-10.Bin38	167	109	130	Proteobacteria
GZCeC-10.Bin39	39	35	38	Proteobacteria
GZCeC-10.Bin46	92	64	86	Firmicutes
GZCeC-10.Bin48	186	113	147	Firmicutes
GZCeC-10.Bin49	128	88	121	Bacteroidota
GZCeC-10.Bin5	115	72	100	Firmicutes
GZCeC-10.Bin52	165	114	144	Bacteroidota
GZCeC-10.Bin8	162	110	146	Bacteroidota
GZCeC-26.Bin10	149	96	135	Bacteroidota
GZCeC-26.Bin12	145	86	123	Fusobacteriota
GZCeC-26.Bin17	188	116	164	Desulfobacterota
GZCeC-26.Bin18	89	66	77	Firmicutes
GZCeC-26.Bin19	281	132	213	Firmicutes
GZCeC-26.Bin22	115	90	98	Bacteroidota
GZCeC-26.Bin26	126	100	119	Bacteroidota
GZCeC-26.Bin28	204	116	188	Bacteroidota
GZCeC-26.Bin3	141	107	116	Bacteroidota
GZCeC-26.Bin30	96	77	94	Bacteroidota
GZCeC-26.Bin31	161	114	136	Bacteroidota
GZCeC-26.Bin33	90	68	77	Firmicutes
GZCeC-26.Bin37	140	94	123	Deferribacterota
GZCeC-26.Bin38	149	109	135	Bacteroidota
GZCeC-26.Bin40	158	107	115	Bacteroidota
GZCeC-26.Bin8	119	93	110	Bacteroidota
GZCeC-26.Bin9	102	84	90	Bacteroidota
HBCeC1.Bin1	189	110	144	Firmicutes
HBCeC1.Bin12	59	48	55	Halobacteriota
HBCeC1.Bin16	249	141	253	Bacteroidota
HBCeC1.Bin30	101	71	90	Firmicutes
HBCeC1.Bin32	214	114	167	Firmicutes
HBCeC1.Bin34	85	59	61	Cyanobacteria
HBCeC1.Bin38	105	72	94	Firmicutes
HBCeC1.Bin39	332	144	277	Firmicutes
HBCeC1.Bin41	82	59	72	Firmicutes
HBCeC1.Bin6	121	79	104	Firmicutes
HBCeC2.Bin15	155	104	145	Bacteroidota
HBCeC2.Bin19	126	82	110	Firmicutes
HBCeC2.Bin23	166	104	140	Firmicutes
HBCeC2.Bin24	59	50	57	Firmicutes
HBCeC2.Bin25	93	70	82	Firmicutes
HBCeC2.Bin30	183	124	148	Desulfobacterota
HBCeC2.Bin32	170	109	144	Firmicutes
HBCeC2.Bin37	125	92	100	Firmicutes
HBCeC2.Bin39	165	106	125	Firmicutes
HBCeC2.Bin40	148	94	123	Firmicutes
HBCeC2.Bin41	156	117	131	Bacteroidota
HBCeC2.Bin44	340	139	283	Firmicutes
HBCeC2.Bin46	151	108	115	Proteobacteria
HBCeC2.Bin47	107	69	87	Firmicutes
HBCeC2.Bin53	247	111	226	Firmicutes
HBCeC2.Bin54	129	97	111	Bacteroidota
HBCeC2.Bin56	299	161	303	Bacteroidota
HBCeC2.Bin60	177	111	132	Firmicutes
HBCeC2.Bin63	83	59	74	Halobacteriota
HBCeC2.Bin8	116	76	92	Firmicutes
HBCeC3.Bin1	152	101	143	Bacteroidota
HBCeC3.Bin12	77	62	68	Firmicutes
HBCeC3.Bin21	166	98	125	Firmicutes
HBCeC3.Bin26	112	75	95	Desulfobacterota
HBCeC3.Bin30	158	99	123	Firmicutes
HBCeC3.Bin9	264	123	233	Firmicutes
HBCeC4.Bin10	113	74	96	Firmicutes
HBCeC4.Bin11	207	130	187	Bacteroidota
HBCeC4.Bin15	45	37	39	Firmicutes
HBCeC4.Bin18	68	53	62	Firmicutes
HBCeC4.Bin19	190	130	168	Bacteroidota
HBCeC4.Bin20	231	128	165	Firmicutes
HBCeC4.Bin26	292	149	296	Bacteroidota
HBCeC4.Bin27	201	137	169	Bacteroidota
HBCeC4.Bin32	285	131	224	Firmicutes
HBCeC4.Bin37	218	118	167	Firmicutes
HBCeC4.Bin38	97	71	88	Firmicutes
HBCeC4.Bin39	131	101	106	Bacteroidota
HBCeC4.Bin40	177	106	134	Firmicutes
HBCeC4.Bin44	87	69	70	Cyanobacteria
HBCeC4.Bin47	134	92	104	Cyanobacteria
HBCeC4.Bin51	114	81	87	Cyanobacteria
HBCeC4.Bin6	348	151	268	Firmicutes
HBCeC4.Bin61	210	132	201	Bacteroidota
HBCeC4.Bin64	143	110	119	Bacteroidota
HBCeC4.Bin8	339	142	262	Firmicutes
HBCeC5.Bin1	401	148	318	Firmicutes
HBCeC5.Bin21	131	90	98	Cyanobacteria
HBCeC5.Bin27	182	115	138	Firmicutes
HBCeC5.Bin29	97	67	80	Cyanobacteria
HBCeC5.Bin33	220	106	160	Firmicutes
HBCeC5.Bin40	290	143	234	Firmicutes
HBCeC5.Bin43	105	81	87	Proteobacteria
HBCeC5.Bin46	229	145	199	Bacteroidota
HBCeC5.Bin48	109	86	95	Bacteroidota
HBCeC5.Bin50	121	88	105	Bacteroidota
HBCeC6.Bin12	123	90	92	Cyanobacteria
HBCeC6.Bin13	166	98	140	Firmicutes
HBCeC6.Bin15	242	128	186	Firmicutes
HBCeC6.Bin21	255	144	233	Bacteroidota
HBCeC6.Bin22	261	136	258	Bacteroidota
HBCeC6.Bin29	333	154	262	Firmicutes
HBCeC6.Bin38	238	109	205	Firmicutes
HBCeC6.Bin8	162	111	128	Verrucomicrobiota
HEBCeC-15.Bin11	80	59	67	Firmicutes
HEBCeC-15.Bin14	186	104	152	Firmicutes
HEBCeC-15.Bin15	203	111	160	Firmicutes
HEBCeC-15.Bin19	167	115	133	Proteobacteria
HEBCeC-15.Bin2	211	111	156	Firmicutes
HEBCeC-15.Bin28	187	126	166	Bacteroidota
HEBCeC-15.Bin29	117	76	118	Bacteroidota
HEBCeC-15.Bin32	136	102	115	Bacteroidota
HEBCeC-15.Bin38	156	110	136	Bacteroidota
HEBCeC-15.Bin39	166	103	128	Spirochaetota
HEBCeC-15.Bin6	168	112	133	Deferribacterota
HEBCeC-17.Bin1	165	121	135	Bacteroidota
HEBCeC-17.Bin11	81	67	67	Bacteroidota
HEBCeC-17.Bin17	192	124	157	Desulfobacterota
HEBCeC-17.Bin18	185	131	170	Bacteroidota
HEBCeC-17.Bin20	72	55	60	Firmicutes
HEBCeC-17.Bin21	135	107	117	Bacteroidota
HEBCeC-17.Bin26	173	114	154	Bacteroidota
HEBCeC-17.Bin27	153	95	133	Firmicutes
HEBCeC-17.Bin28	89	64	69	Firmicutes
HEBCeC-17.Bin32	172	114	146	Bacteroidota
HEBCeC-17.Bin38	78	59	70	Firmicutes
HEBCeC-17.Bin39	135	109	117	Bacteroidota
HEBCeC-17.Bin4	153	105	133	Bacteroidota
HEBCeC-17.Bin41	109	88	101	Bacteroidota
HEBCeC-17.Bin5	162	103	124	Firmicutes
HEBCeC-17.Bin54	161	107	134	Firmicutes
HEBCeC-17.Bin56	95	66	86	Firmicutes
HEBCeC-17.Bin6	121	99	95	Campylobacterota
HEBCeC-17.Bin62	133	100	124	Bacteroidota
HEBCeC-17.Bin65	117	95	116	Bacteroidota
HEBCeC-17.Bin67	80	55	67	Firmicutes
HEBCeC-17.Bin70	141	83	119	Fusobacteriota
HEBCeC-17.Bin72	117	88	95	Bacteroidota
HEBCeC-17.Bin76	41	34	38	Proteobacteria
HEBCeC-17.Bin77	175	122	142	Bacteroidota
HEBCeC-17.Bin81	135	108	115	Bacteroidota
HEBCeC-17.Bin82	129	88	102	Proteobacteria
HEBCeC-18.Bin10	126	95	108	Bacteroidota
HEBCeC-18.Bin13	146	111	138	Bacteroidota
HEBCeC-18.Bin14	129	101	103	Bacteroidota
HEBCeC-18.Bin18	186	124	166	Bacteroidota
HEBCeC-18.Bin21	180	104	157	Firmicutes
HEBCeC-18.Bin28	153	99	129	Firmicutes
HEBCeC-18.Bin31	177	113	161	Bacteroidota
HEBCeC-18.Bin40	120	86	115	Bacteroidota
HEBCeC-18.Bin43	229	125	183	Firmicutes
HEBCeC-18.Bin45	181	131	156	Bacteroidota
HEBCeC-18.Bin50	126	82	102	Spirochaetota
HEBCeC-18.Bin54	142	98	105	Bacteroidota
HEBCeC-18.Bin67	94	58	84	Firmicutes
HEBCeC-18.Bin69	194	133	163	Bacteroidota
HEBCeC-18.Bin7	167	99	139	Firmicutes
HEBCeC-18.Bin71	146	97	125	Desulfobacterota
HEBCeC-18.Bin74	164	114	129	Bacteroidota
HEBCeC-18.Bin75	183	116	149	Bacteroidota
HEBCeC-18.Bin78	152	108	132	Bacteroidota
HEBCeC-18.Bin8	64	51	54	Firmicutes
HEBCeC-18.Bin80	122	95	102	Bacteroidota
HEBCeC-18.Bin83	162	102	141	Deferribacterota
HEBCeC-21.Bin2	208	128	182	Bacteroidota
HEBCeC-21.Bin25	142	108	124	Bacteroidota
HEBCeC-21.Bin30	122	92	107	Bacteroidota
HEBCeC-21.Bin33	110	81	102	Desulfobacterota
HEBCeC-21.Bin4	169	123	144	Bacteroidota
HEBCeC-21.Bin45	89	68	77	Firmicutes
HEBCeC-21.Bin49	72	62	67	Proteobacteria
HEBCeC-21.Bin58	134	99	123	Bacteroidota
HEBCeC-21.Bin59	210	132	176	Bacteroidota
HEBCeC-21.Bin63	202	110	177	Bacteroidota
HEBCeC-21.Bin64	140	105	105	Verrucomicrobiota
HEBCeC-25.Bin11	181	123	154	Bacteroidota
HEBCeC-25.Bin14	135	102	115	Bacteroidota
HEBCeC-25.Bin20	121	71	101	Firmicutes
HEBCeC-25.Bin25	179	119	172	Bacteroidota
HEBCeC-25.Bin33	90	62	82	Firmicutes
HEBCeC-25.Bin34	111	73	97	Fusobacteriota
HEBCeC-25.Bin35	180	99	167	Spirochaetota
HEBCeC-25.Bin36	152	116	125	Bacteroidota
HEBCeC-25.Bin37	177	99	156	Firmicutes
HEBCeC-25.Bin39	123	79	97	Firmicutes
HEBCeC-25.Bin44	102	68	92	Firmicutes
HEBCeC-25.Bin46	148	109	132	Bacteroidota
HEBCeC-25.Bin5	194	121	168	Desulfobacterota
HEBCeC-25.Bin50	137	100	114	Bacteroidota
HEBCeC-25.Bin51	99	72	99	Firmicutes
HEBCeC-25.Bin55	98	67	84	Firmicutes
HEBCeC-25.Bin56	75	50	68	Firmicutes
HEBCeC-25.Bin57	202	110	172	Firmicutes
HEBCeC-25.Bin58	127	93	102	Bacteroidota
HEBCeC-25.Bin6	116	83	98	Synergistota
HEBCeC-25.Bin60	171	123	144	Bacteroidota
HEBCeC-25.Bin62	159	112	132	Bacteroidota
HEBCeC-25.Bin65	94	68	82	Firmicutes
HEBCeC-25.Bin68	161	94	150	Spirochaetota
HEBCeC-25.Bin71	196	117	146	Firmicutes
HEBCeC-25.Bin74	158	102	134	Bacteroidota
HEBCeC-25.Bin75	151	114	120	Bacteroidota
HEBCeC-25.Bin78	132	82	126	Desulfobacterota
HEBCeC-25.Bin84	144	102	121	Bacteroidota
HEBCeC-25.Bin89	175	120	158	Bacteroidota
HEBCeC-25.Bin90	121	91	113	Bacteroidota
HEBCeC-25.Bin92	134	111	111	Bacteroidota
HEBCeC-30.Bin1	86	72	78	Bacteroidota
HEBCeC-30.Bin12	157	115	132	Bacteroidota
HEBCeC-30.Bin19	195	129	167	Bacteroidota
HEBCeC-30.Bin2	115	91	104	Bacteroidota
HEBCeC-30.Bin23	163	113	143	Bacteroidota
HEBCeC-30.Bin28	98	80	87	Proteobacteria
HEBCeC-30.Bin32	111	65	103	Desulfobacterota
HEBCeC-30.Bin34	134	101	115	Bacteroidota
HEBCeC-30.Bin35	84	57	76	Fusobacteriota
HEBCeC-30.Bin4	130	89	115	Bacteroidota
HEBCeC-30.Bin43	184	118	163	Bacteroidota
HEBCeC-30.Bin7	74	59	62	Firmicutes
HEBCeC-7.Bin12	165	128	143	Bacteroidota
HEBCeC-7.Bin13	92	68	82	Firmicutes
HEBCeC-7.Bin14	95	59	89	Firmicutes
HEBCeC-7.Bin17	126	88	95	Verrucomicrobiota
HEBCeC-7.Bin18	84	58	75	Halobacteriota
HEBCeC-7.Bin19	101	88	92	Proteobacteria
HEBCeC-7.Bin2	174	124	144	Proteobacteria
HEBCeC-7.Bin20	78	52	64	Firmicutes
HEBCeC-7.Bin22	84	52	74	Firmicutes
HEBCeC-7.Bin23	170	126	147	Bacteroidota
HEBCeC-7.Bin25	261	130	193	Firmicutes
HEBCeC-7.Bin27	90	65	74	Firmicutes
HEBCeC-7.Bin31	99	79	81	Verrucomicrobiota
HEBCeC-7.Bin36	122	100	99	Campylobacterota
HEBCeC-7.Bin38	99	79	85	Proteobacteria
HEBCeC-7.Bin4	90	65	78	Firmicutes
HEBCeC-7.Bin48	94	66	85	Firmicutes
HEBCeC-7.Bin51	127	85	101	Proteobacteria
HEBCeC-7.Bin52	104	66	90	Firmicutes
HEBCeC-7.Bin55	153	100	127	Bacteroidota
HEBCeC-7.Bin58	97	67	89	Firmicutes
HEBCeC-7.Bin6	89	60	83	Firmicutes
HEBCeC-7.Bin60	95	71	86	Firmicutes
HEBCeC-7.Bin8	158	122	134	Bacteroidota
HNCeC10.Bin102	141	88	98	Firmicutes
HNCeC10.Bin105	140	91	123	Firmicutes
HNCeC10.Bin107	154	94	123	Firmicutes
HNCeC10.Bin108	281	125	209	Firmicutes
HNCeC10.Bin109	191	99	159	Firmicutes
HNCeC10.Bin115	159	111	115	Bacteroidota
HNCeC10.Bin14	226	109	181	Firmicutes
HNCeC10.Bin15	151	106	135	Bacteroidota
HNCeC10.Bin16	122	77	97	Firmicutes
HNCeC10.Bin17	200	109	155	Firmicutes
HNCeC10.Bin20	116	84	103	Firmicutes
HNCeC10.Bin21	148	96	123	Firmicutes
HNCeC10.Bin23	103	75	99	Firmicutes
HNCeC10.Bin29	177	108	135	Firmicutes
HNCeC10.Bin33	113	84	100	Bacteroidota
HNCeC10.Bin35	144	111	107	Bacteroidota
HNCeC10.Bin36	248	114	212	Firmicutes
HNCeC10.Bin37	84	69	72	Bacteroidota
HNCeC10.Bin38	115	83	103	Firmicutes
HNCeC10.Bin41	104	64	91	Firmicutes
HNCeC10.Bin43	219	112	182	Firmicutes
HNCeC10.Bin46	186	126	155	Bacteroidota
HNCeC10.Bin49	62	42	51	Methanobacteriota
HNCeC10.Bin5	185	101	156	Firmicutes
HNCeC10.Bin50	139	101	126	Bacteroidota
HNCeC10.Bin53	125	82	110	Actinobacteriota
HNCeC10.Bin59	112	81	105	Firmicutes
HNCeC10.Bin6	57	43	48	Firmicutes
HNCeC10.Bin60	216	112	169	Firmicutes
HNCeC10.Bin67	286	138	223	Firmicutes
HNCeC10.Bin71	178	104	159	Firmicutes
HNCeC10.Bin77	94	76	81	Bacteroidota
HNCeC10.Bin78	168	105	129	Firmicutes
HNCeC10.Bin81	93	74	76	Eremiobacterota
HNCeC10.Bin82	167	116	150	Bacteroidota
HNCeC10.Bin84	102	71	91	Actinobacteriota
HNCeC10.Bin9	164	95	148	Firmicutes
HNCeC10.Bin93	154	101	139	Firmicutes
HNCeC10.Bin97	162	107	144	Bacteroidota
HNCeC10.Bin98	149	95	128	Firmicutes
HNCeC10.Bin99	188	95	146	Firmicutes
HNCeC11.Bin10	180	120	161	Bacteroidota
HNCeC11.Bin12	158	99	123	Desulfobacterota
HNCeC11.Bin13	202	103	158	Firmicutes
HNCeC11.Bin15	148	88	111	Firmicutes
HNCeC11.Bin17	160	109	145	Bacteroidota
HNCeC11.Bin19	150	94	125	Firmicutes
HNCeC11.Bin21	145	96	116	Desulfobacterota
HNCeC11.Bin26	216	113	183	Firmicutes
HNCeC11.Bin27	153	96	124	Firmicutes
HNCeC11.Bin31	172	101	153	Firmicutes
HNCeC11.Bin36	124	87	96	Bacteroidota
HNCeC11.Bin37	267	136	217	Firmicutes
HNCeC11.Bin4	178	91	143	Firmicutes
HNCeC11.Bin41	131	93	102	Firmicutes
HNCeC11.Bin42	105	70	88	Firmicutes
HNCeC11.Bin43	127	86	90	Bacteroidota
HNCeC11.Bin44	127	90	99	Firmicutes
HNCeC11.Bin46	140	94	127	Firmicutes
HNCeC11.Bin47	153	95	116	Firmicutes
HNCeC11.Bin50	210	113	172	Firmicutes
HNCeC11.Bin53	100	83	93	Bacteroidota
HNCeC11.Bin56	209	103	165	Firmicutes
HNCeC11.Bin57	44	38	41	Methanobacteriota
HNCeC11.Bin58	97	79	80	Bacteroidota
HNCeC11.Bin59	147	85	120	Firmicutes
HNCeC11.Bin62	103	77	83	Firmicutes
HNCeC11.Bin64	169	89	140	Firmicutes
HNCeC11.Bin65	119	87	115	Bacteroidota
HNCeC11.Bin67	100	74	90	Actinobacteriota
HNCeC11.Bin68	144	103	120	Bacteroidota
HNCeC11.Bin69	192	97	172	Firmicutes
HNCeC11.Bin70	117	85	97	Proteobacteria
HNCeC11.Bin71	88	67	77	Firmicutes
HNCeC11.Bin78	208	118	164	Firmicutes
HNCeC11.Bin8	118	81	106	Firmicutes
HNCeC11.Bin82	162	95	146	Spirochaetota
HNCeC11.Bin85	91	66	78	Firmicutes
HNCeC11.Bin86	180	104	140	Firmicutes
HNCeC11.Bin87	150	102	127	Bacteroidota
HNCeC11.Bin90	248	115	198	Firmicutes
HNCeC11.Bin93	241	121	195	Firmicutes
HNCeC11.Bin96	133	93	115	Firmicutes
HNCeC12.Bin11	130	84	99	Firmicutes
HNCeC12.Bin12	115	80	91	Firmicutes
HNCeC12.Bin15	151	107	138	Desulfobacterota
HNCeC12.Bin16	200	110	149	Firmicutes
HNCeC12.Bin18	237	118	192	Firmicutes
HNCeC12.Bin23	141	99	113	Firmicutes
HNCeC12.Bin24	60	48	50	Firmicutes
HNCeC12.Bin27	189	124	158	Bacteroidota
HNCeC12.Bin33	151	105	135	Bacteroidota
HNCeC12.Bin35	98	73	87	Firmicutes
HNCeC12.Bin36	141	107	111	Bacteroidota
HNCeC12.Bin37	243	124	193	Firmicutes
HNCeC12.Bin38	144	97	117	Bacteroidota
HNCeC12.Bin43	133	95	112	Firmicutes
HNCeC12.Bin49	250	124	207	Firmicutes
HNCeC12.Bin51	108	76	92	Firmicutes
HNCeC12.Bin53	217	108	170	Firmicutes
HNCeC12.Bin56	146	88	125	Desulfobacterota
HNCeC12.Bin57	122	90	95	Bacteroidota
HNCeC12.Bin58	120	90	108	Bacteroidota
HNCeC12.Bin61	77	58	69	Firmicutes
HNCeC12.Bin9	134	93	104	Bacteroidota
HNCeC13.Bin10	251	124	201	Firmicutes
HNCeC13.Bin11	120	91	97	Bacteroidota
HNCeC13.Bin12	167	116	144	Bacteroidota
HNCeC13.Bin13	128	94	108	Bacteroidota
HNCeC13.Bin15	184	130	147	Bacteroidota
HNCeC13.Bin18	147	104	124	Bacteroidota
HNCeC13.Bin2	125	89	101	Bacteroidota
HNCeC13.Bin22	183	135	151	Bacteroidota
HNCeC13.Bin3	173	123	143	Firmicutes
HNCeC13.Bin30	94	70	78	Firmicutes
HNCeC13.Bin32	152	92	137	Firmicutes
HNCeC13.Bin34	213	108	188	Firmicutes
HNCeC13.Bin41	133	81	106	Firmicutes
HNCeC13.Bin43	136	96	109	Firmicutes
HNCeC13.Bin44	166	117	140	Bacteroidota
HNCeC13.Bin52	142	103	120	Firmicutes
HNCeC13.Bin53	148	104	125	Bacteroidota
HNCeC13.Bin55	181	127	168	Bacteroidota
HNCeC13.Bin57	142	92	130	Firmicutes
HNCeC13.Bin60	234	122	202	Firmicutes
